sp,CollectionCode,Subsample,SpecimenCode,CL,PoOC,PrAC,ClyL,CWB,Cweye,FR,TCD,GPD,SL,MW,PEW,MPD,ML,MPH,NOH,HTL,EL,OMD
MG098,BLF09444,,CASENT0499206,1.34,0.42,0.61,0.38,1.17,1.24,0.52,0.32,0.54,1.42,1.08,0.56,1.37,1.9,0.88,0.33,1.21,0.28,0.53
MG098,BLF09872,,CASENT0043847,1.37,0.44,0.62,0.35,1.17,1.22,0.53,0.32,0.54,1.45,1.06,0.56,1.34,1.94,0.86,0.36,1.26,0.26,0.58
MG098,BLF09972,,CASENT0494328,1.21,0.37,0.56,0.35,1.04,1.1,0.48,0.29,0.5,1.33,0.95,0.47,1.19,1.77,0.8,0.29,1.13,0.29,0.52
MG098,BLF10054,,CASENT0498463,1.38,0.43,0.64,0.37,1.12,1.2,0.5,0.34,0.54,1.41,1.05,0.52,1.3,1.93,0.87,0.34,1.23,0.28,0.49
MG098,BLF09425,25,CASENT0040901,1.32,0.42,0.62,0.33,1.1,1.14,0.51,0.3,0.46,1.38,1.01,0.5,1.16,1.82,0.8,0.25,1.12,0.24,0.44
MG098,BLF09655,,CASENT0496998,1.17,0.4,0.5,0.29,1,1.07,0.44,0.28,0.46,1.32,0.92,0.45,1.13,1.72,0.73,0.24,1.04,0.24,0.4
MG098,BLF09972,,CASENT0494331,1.19,0.4,0.53,0.33,1,1.06,0.44,0.26,0.46,1.33,0.94,0.45,1.12,1.72,0.71,0.25,1.1,0.24,0.38
MG109,BLF01888,,CASENT0191531,0.93,0.27,0.37,0.27,0.72,0.8,0.25,0.19,0.42,1.19,0.61,0.25,0.86,1.3,0.51,0.13,0.9,0.28,0.33
MG109,BLF01996,63,CASENT0191537,1.05,0.31,0.45,0.28,0.81,0.84,0.29,0.21,0.5,1.35,0.69,0.27,0.89,1.48,0.6,0.17,1.03,0.28,0.4
MG109,BLF02772,,CASENT0409911,1.08,0.27,0.5,0.31,0.82,0.89,0.28,0.22,0.53,1.37,0.71,0.25,1.04,1.56,0.64,0.19,1.09,0.28,0.41
MG109,BLF03251,,CASENT0477036,1.05,0.29,0.47,0.3,0.85,0.87,0.28,0.24,0.53,1.33,0.69,0.25,1.09,1.54,0.59,0.18,1.04,0.27,0.4
MG109,BLF03426,24,CASENT0408904,1.08,0.27,0.48,0.29,0.82,0.89,0.28,0.21,0.5,1.31,0.66,0.25,1.04,1.56,0.61,0.18,1.1,0.28,0.4
MG109,BLF11276,10,CASENT0107838,1.09,0.3,0.49,0.29,0.83,0.87,0.28,0.21,0.51,1.29,0.66,0.25,1.04,1.57,0.61,0.17,1.07,0.28,0.41
MG109,BLF27365,,CASENT0261349,1,0.26,0.48,0.28,0.78,0.85,0.26,0.21,0.52,1.29,0.68,0.24,1.02,1.51,0.61,0.18,1.04,0.27,0.41
MG109,BLF31833,,CASENT0370578,1.01,0.28,0.46,0.29,0.83,0.87,0.29,0.21,0.5,1.28,0.66,0.24,1.04,1.53,0.6,0.18,1.04,0.26,0.38
MG109,BLF31850,,CASENT0370592,1.04,0.28,0.47,0.28,0.82,0.86,0.29,0.22,0.48,1.31,0.69,0.24,1.02,1.51,0.59,0.18,1.05,0.28,0.38
MG111a,BLF07511,12,CASENT0441197,1.4,0.46,0.67,0.4,1.02,1.04,0.33,0.22,0.61,1.77,0.85,0.33,1.33,2.2,0.77,0.17,1.56,0.33,0.46
MG111a,BLF25390,,CASENT0209035,1.44,0.48,0.64,0.4,1.02,1.04,0.34,0.26,0.62,1.84,0.9,0.35,1.44,2.3,0.84,0.2,1.65,0.32,0.5
MG111a,BLF03251,,CASENT0477008,1.42,0.42,0.66,0.43,0.97,1.02,0.33,0.26,0.64,1.8,0.82,0.35,1.47,2.09,0.77,0.18,1.63,0.34,0.54
MG111a,BLF02035,,CASENT0191530,1.4,0.43,0.62,0.41,0.95,0.99,0.32,0.25,0.61,1.85,0.83,0.31,1.46,2.1,0.75,0.21,1.66,0.34,0.46
MG111a,BLF07023,,CASENT0049829,1.41,0.45,0.65,0.4,0.96,1,0.3,0.22,0.63,1.75,0.8,0.31,1.48,2.01,0.75,0.16,1.63,0.3,0.53
MG111a,BLF07302,23,CASENT0441122,1.45,0.48,0.66,0.39,0.98,1.03,0.32,0.25,0.64,1.87,0.83,0.34,1.48,2.04,0.85,0.16,1.67,0.32,0.56
MG111a,BLF25828,,CASENT0208663,1.4,0.43,0.61,0.38,0.94,0.98,0.36,0.22,0.59,1.84,0.81,0.28,1.31,2.05,0.74,0.17,1.59,0.33,0.53
MG111a,PSW11943,8,CASENT0195363,1.45,0.48,0.66,0.4,0.98,1.01,0.34,0.24,0.65,1.86,0.89,0.33,1.48,2.12,0.87,0.17,1.68,0.33,0.55
MG112,BLF01887,,CASENT0191527,1.57,0.51,0.71,0.48,1.1,1.08,0.34,0.24,0.66,2.08,0.98,0.34,1.74,2.48,0.94,0.22,1.86,0.36,0.58
MG112,BLF01962,,CASENT0191529,1.42,0.47,0.57,0.41,1,0.98,0.3,0.23,0.62,2.08,0.9,0.32,1.41,2.26,0.87,0.2,1.74,0.34,0.5
MG115,BLF04712,,CASENT0418182,1.49,0.47,0.71,0.46,1.12,1.08,0.37,0.3,0.58,1.67,0.86,0.29,1.27,2.16,0.69,0.24,1.63,0.33,0.57
MG115,BLF04712,,CASENT0418215,1.4,0.43,0.66,0.42,1.03,1.01,0.36,0.26,0.58,1.64,0.81,0.28,1.24,2.04,0.66,0.21,1.58,0.33,0.56
MG115,TB10-GC02-B,,CASENT0850800,1.42,0.42,0.64,0.42,1.02,1,0.36,0.27,0.59,1.69,0.77,0.28,1.25,2.05,0.64,0.26,1.56,0.32,0.52
MG115,TB19-GC02-A,,CASENT0850947,1.37,0.41,0.62,0.42,0.98,0.94,0.37,0.24,0.58,1.62,0.72,0.28,1.17,1.98,0.6,0.24,1.57,0.32,0.5
MG115,TB19-GC07-B,,CASENT0851465,1.31,0.38,0.62,0.41,0.92,0.91,0.37,0.24,0.54,1.53,0.7,0.25,1.17,1.94,0.57,0.22,1.5,0.3,0.5
MG116,BLF07020,18,CASENT0027568,1.07,0.32,0.47,0.28,0.88,0.9,0.33,0.23,0.47,1.34,0.82,0.32,1.19,1.63,0.78,0.22,1.14,0.27,0.41
MG116,BLF07020,41,CASENT0027579,1.16,0.37,0.51,0.33,0.94,0.95,0.35,0.25,0.48,1.4,0.83,0.34,1.15,1.73,0.76,0.22,1.11,0.29,0.45
MG116,BLF07020,45,CASENT0027580,1.1,0.32,0.51,0.3,0.91,0.92,0.37,0.24,0.47,1.33,0.82,0.32,1.23,1.66,0.75,0.2,1.12,0.27,0.42
MG116,BLF07020,LO,CASENT0027592,1.17,0.37,0.5,0.31,0.95,0.96,0.35,0.24,0.47,1.38,0.85,0.34,1.26,1.71,0.78,0.23,1.17,0.29,0.43
MG116,BLF07022,16,CASENT0485356,1.02,0.33,0.43,0.27,0.82,0.84,0.34,0.22,0.45,1.27,0.74,0.32,1.11,1.56,0.7,0.2,1.08,0.25,0.41
MG116,BLF07086,23,CASENT0027574,1.09,0.36,0.45,0.25,0.91,0.91,0.36,0.21,0.46,1.32,0.8,0.32,1.21,1.64,0.81,0.2,1.16,0.28,0.37
MG116,BLF07086,12,CASENT0028770,1.07,0.35,0.43,0.3,0.88,0.9,0.33,0.22,0.44,1.29,0.8,0.31,1.18,1.63,0.74,0.2,1.09,0.28,0.41
MG117,BLF18108,,CASENT0134455,1.33,0.41,0.56,0.34,1.08,1.06,0.4,0.31,0.54,1.53,0.94,0.4,1.38,2.01,0.95,0.24,1.33,0.28,0.5
MG117,BLF18118,,CASENT0134479,1.18,0.41,0.52,0.29,0.93,0.93,0.34,0.22,0.48,1.41,0.82,0.32,1.27,1.81,0.8,0.19,1.22,0.24,0.41
MG117,BLF18308,,CASENT0134216,1.24,0.37,0.58,0.32,1.01,1,0.38,0.27,0.52,1.44,0.87,0.36,1.31,1.86,0.81,0.2,1.24,0.27,0.46
MG117,BLF18334,,CASENT0134147,1.25,0.41,0.55,0.34,0.99,1.02,0.38,0.25,0.53,1.46,0.89,0.38,1.36,1.86,0.84,0.24,1.28,0.28,0.48
MG117,BLF18514,,CASENT0136265,1.28,0.44,0.56,0.32,1.01,1.05,0.4,0.28,0.54,1.49,0.9,0.36,1.38,1.89,0.89,0.28,1.31,0.28,0.45
MG117,BLF26067,,CASENT0213911,1.21,0.4,0.53,0.34,0.96,0.98,0.35,0.25,0.5,1.4,0.88,0.33,1.19,1.83,0.77,0.22,1.19,0.26,0.48
MG117,BLF30757,,CASENT0301113,1.21,0.39,0.53,0.34,0.97,0.98,0.35,0.24,0.51,1.4,0.87,0.33,1.15,1.83,0.76,0.22,1.24,0.26,0.48
MG117,BLF30813,,CASENT0304434,1.23,0.41,0.52,0.3,1,1.01,0.37,0.22,0.53,1.45,0.9,0.34,1.25,1.85,0.86,0.19,1.25,0.25,0.46
MG117,BLF31069,,CASENT0301077,1.09,0.37,0.48,0.28,0.84,0.87,0.32,0.2,0.42,1.29,0.74,0.29,1.06,1.68,0.77,0.16,1.1,0.23,0.41
MG117,BLF31888,2,CASENT0369171,1.09,0.36,0.48,0.28,0.85,0.9,0.32,0.22,0.46,1.31,0.78,0.29,1.12,1.62,0.82,0.17,1.09,0.22,0.39
MG117,MA-01-01D-08,,CASENT0082166,1.21,0.38,0.52,0.33,0.97,0.99,0.36,0.24,0.5,1.39,0.88,0.32,1.18,1.81,0.76,0.22,1.24,0.27,0.47
MG117,MA-06-07,,CASENT0083503,1.25,0.41,0.5,0.32,1.02,1.01,0.38,0.26,0.5,1.47,0.88,0.34,1.28,1.92,0.9,0.18,1.3,0.29,0.45
MG124,BLF22615,,CASENT0151931,1.98,0.62,0.96,0.6,1.54,1.57,0.48,0.37,0.81,2.64,1.26,0.43,2.32,3.25,1.68,0.17,2.96,0.4,0.85
MG124,BLF22635,,CASENT0151959,1.98,0.6,0.97,0.6,1.58,1.61,0.46,0.38,0.85,2.63,1.32,0.44,2.2,3.33,1.4,0.2,3.01,0.4,0.81
MG124,BLF22675,,CASENT0152172,1.87,0.63,0.91,0.58,1.43,1.49,0.44,0.36,0.78,2.61,1.2,0.4,2.29,3.25,1.3,0.19,2.95,0.4,0.75
MG124,BLF22695,,CASENT0152522,1.83,0.59,0.88,0.53,1.43,1.49,0.44,0.36,0.77,2.57,1.16,0.37,2.25,3.13,1.26,0.19,2.89,0.4,0.78
MG129,BLF04344,25,CASENT0419703,0.94,0.23,0.46,0.28,0.82,0.89,0.35,0.25,0.43,0.94,0.74,0.38,0.81,1.32,0.54,0.28,0.83,0.26,0.4
MG129,BLF04424,,CASENT0425368,1.01,0.24,0.51,0.3,0.88,0.9,0.4,0.27,0.42,0.99,0.7,0.36,0.84,1.38,0.58,0.28,0.9,0.27,0.44
MG129,BLF22833,,CASENT0155914,1.01,0.24,0.5,0.29,0.89,0.93,0.37,0.27,0.42,1.02,0.73,0.36,0.86,1.36,0.59,0.28,0.91,0.26,0.44
MG129,BLF22892,,CASENT0156580,1.15,0.27,0.56,0.34,0.97,1.03,0.45,0.32,0.48,1.04,0.79,0.41,0.85,1.44,0.61,0.24,1.04,0.26,0.49
MG129,BLF22923,,CASENT0156610,0.97,0.24,0.46,0.29,0.85,0.9,0.36,0.26,0.43,0.96,0.71,0.36,0.82,1.3,0.52,0.24,0.87,0.27,0.41
MG132,BLF01862,25,CASENT0188254,1.68,0.53,0.78,0.4,1.66,1.53,0.58,0.41,0.7,1.78,1.34,0.58,1.49,2.64,0.97,0.25,1.65,0.36,0.7
MG132,BLF01887,,CASENT0004372,1.68,0.52,0.78,0.4,1.58,1.5,0.6,0.4,0.7,1.76,1.37,0.57,1.57,2.56,0.93,0.29,1.74,0.36,0.68
MG132,BLF01915,,CASENT0188253,1.66,0.5,0.77,0.42,1.6,1.52,0.58,0.39,0.68,1.77,1.37,0.57,1.52,2.61,0.93,0.28,1.65,0.36,0.66
MG132,BLF30925,,CASENT0300181,1.68,0.52,0.76,0.46,1.67,1.5,0.6,0.42,0.72,1.8,1.36,0.6,1.49,2.6,0.96,0.27,1.68,0.36,0.73
MG132,BLF30929,,CASENT0300180,1.68,0.52,0.85,0.44,1.64,1.49,0.58,0.41,0.7,1.81,1.34,0.57,1.38,2.61,0.97,0.28,1.65,0.33,0.66
MG132,BLF30931,,CASENT0300156,1.72,0.54,0.84,0.46,1.65,1.55,0.6,0.42,0.69,1.8,1.42,0.6,1.49,2.66,1,0.28,1.68,0.36,0.73
MG132,BLF31035,,CASENT0300924,1.57,0.52,0.72,0.4,1.51,1.44,0.56,0.39,0.7,1.69,1.29,0.58,1.46,2.51,0.97,0.25,1.6,0.32,0.61
MG132,BLF31035,,CASENT0300925,1.49,0.48,0.68,0.36,1.37,1.33,0.52,0.36,0.65,1.64,1.24,0.53,1.3,2.33,0.82,0.25,1.48,0.32,0.58
MG132,BLF31065,,CASENT0301021,1.53,0.5,0.69,0.38,1.46,1.38,0.56,0.38,0.66,1.67,1.25,0.52,1.41,2.4,0.85,0.27,1.59,0.32,0.61
MG132,BLF31942,,CASENT0367493,1.68,0.48,0.8,0.45,1.7,1.56,0.64,0.44,0.72,1.8,1.41,0.61,1.4,2.6,1,0.29,1.76,0.36,0.72
MG135,BLF01996,30,CASENT0188378,1.52,0.56,0.66,0.38,1.24,1.21,0.44,0.32,0.62,1.68,1.06,0.4,1.78,2.46,0.75,0.33,1.76,0.32,0.54
MG135,BLF02004,,CASENT0188377,1.64,0.53,0.74,0.45,1.31,1.32,0.46,0.35,0.7,1.74,1.11,0.45,1.85,2.65,0.8,0.41,1.79,0.34,0.67
MG135,BLF02029,,CASENT0188376,1.51,0.52,0.69,0.41,1.2,1.21,0.43,0.32,0.62,1.68,1,0.38,1.74,2.51,0.7,0.41,1.64,0.3,0.61
MG135,BLF03518,,CASENT0436606,1.39,0.52,0.58,0.34,1.01,1.04,0.39,0.29,0.59,1.57,0.9,0.4,1.59,2.32,0.65,0.37,1.45,0.29,0.56
MG135,BLF31159,,CASENT0303095,1.66,0.56,0.72,0.44,1.31,1.28,0.48,0.36,0.66,1.73,1.07,0.44,1.77,2.68,0.82,0.29,1.74,0.32,0.62
MG135,BLF31673,L.O,CASENT0369096,1.52,0.53,0.65,0.38,1.18,1.16,0.44,0.32,0.62,1.68,1,0.4,1.74,2.56,0.73,0.2,1.6,0.32,0.54
MG144,BLF08137,,CASENT0495152,1.25,0.37,0.56,0.33,0.98,0.96,0.37,0.27,0.51,1.66,0.94,0.27,1.49,1.97,0.78,0.26,1.44,0.31,0.52
MG144,BLF08251,14,CASENT0488772,1.28,0.39,0.56,0.36,1.02,0.98,0.38,0.27,0.55,1.73,0.93,0.32,1.44,2.06,0.83,0.25,1.45,0.33,0.55
MG144,BLF08356,,CASENT0495524,1.32,0.44,0.57,0.37,1.02,0.99,0.4,0.27,0.51,1.67,0.96,0.31,1.46,2.04,0.82,0.27,1.56,0.32,0.55
MG144,BLF09014,,CASENT0487911,1.3,0.39,0.56,0.36,0.99,0.97,0.38,0.27,0.54,1.67,0.93,0.27,1.39,2.04,0.83,0.26,1.49,0.32,0.55
MG144,BLF09014,,CASENT0487913,1.3,0.38,0.59,0.37,1.01,0.97,0.37,0.27,0.56,1.68,0.94,0.29,1.45,2.01,0.84,0.25,1.42,0.33,0.54
MG144,BLF08147,,CASENT0495112,1.33,0.44,0.56,0.36,1.04,0.98,0.4,0.27,0.53,1.73,0.96,0.3,1.46,2.05,0.81,0.27,1.54,0.3,0.54
MG144,BLF08356,,CASENT0495525,1.29,0.43,0.55,0.32,0.97,0.95,0.37,0.26,0.52,1.64,0.9,0.29,1.46,1.98,0.8,0.26,1.4,0.29,0.53
MG144,BLF08137,,CASENT0495160,1.39,0.39,0.65,0.4,1.15,1.07,0.39,0.28,0.57,1.72,0.99,0.36,1.64,2.11,0.84,0.28,1.55,0.33,0.62
MG144,BLF08251,,CASENT0488771,1.26,0.37,0.57,0.35,1.01,0.96,0.36,0.28,0.52,1.63,0.88,0.3,1.41,1.94,0.8,0.23,1.41,0.28,0.53
MG145,BLF01888,6,CASENT0191643,1.49,0.44,0.74,0.47,1.06,1.05,0.41,0.24,0.62,2.11,0.96,0.31,1.59,2.41,0.92,0.32,1.78,0.35,0.6
MG145,BLF07020,22,CASENT0485394,1.53,0.42,0.68,0.49,1.06,1.05,0.44,0.26,0.66,2.11,0.99,0.36,1.61,2.38,0.91,0.3,1.81,0.36,0.65
MG148,BLF08250,24,CASENT0038476,1.04,0.3,0.47,0.33,0.81,0.81,0.3,0.19,0.45,1.4,0.69,0.23,1.15,1.5,0.62,0.17,1.15,0.28,0.49
MG148,BLF08250,50,CASENT0038482,1.12,0.33,0.49,0.32,0.89,0.85,0.35,0.19,0.46,1.5,0.74,0.26,1.09,1.62,0.65,0.21,1.24,0.28,0.5
MG148,BLF24552,,CASENT0160492,1.14,0.31,0.51,0.33,0.93,0.89,0.37,0.19,0.47,1.46,0.78,0.27,1.16,1.73,0.63,0.22,1.27,0.28,0.49
MG148,BLF24579,,CASENT0160481,1.07,0.3,0.49,0.32,0.84,0.82,0.31,0.21,0.45,1.39,0.7,0.22,1.16,1.57,0.62,0.19,1.15,0.27,0.44
MG148,BLF24582,,CASENT0162142,1.09,0.34,0.48,0.32,0.86,0.83,0.34,0.2,0.46,1.42,0.75,0.24,1.22,1.69,0.7,0.19,1.25,0.28,0.45
MG148,BLF24620,,CASENT0161454,1.07,0.28,0.49,0.33,0.85,0.83,0.31,0.2,0.47,1.4,0.74,0.2,1.15,1.59,0.63,0.2,1.17,0.27,0.46
MG148,BLF25006,,CASENT0161428,1.12,0.31,0.5,0.33,0.87,0.85,0.32,0.21,0.49,1.38,0.73,0.24,1.07,1.54,0.65,0.18,1.14,0.28,0.46
MG148,BLF25082,,CASENT0162238,1,0.25,0.47,0.31,0.82,0.79,0.3,0.19,0.43,1.37,0.67,0.22,1.02,1.48,0.62,0.17,1.12,0.28,0.44
MG148,BLF36821,,CASENT0723285,1.21,0.35,0.53,0.35,0.88,0.9,0.36,0.25,0.52,1.52,0.86,0.33,1.31,1.75,0.72,0.27,1.36,0.28,0.52
MG149,BLF10578,,CASENT0050445,1.15,0.32,0.51,0.3,0.85,0.86,0.33,0.22,0.48,1.42,0.76,0.33,1.2,1.79,0.7,0.23,1.28,0.28,0.46
MG149,BLF10501,,CASENT0074010,1.14,0.31,0.53,0.32,0.83,0.85,0.34,0.22,0.5,1.45,0.73,0.27,1.3,1.74,0.64,0.21,1.26,0.29,0.48
MG149,BLF10501,LO,CASENT0074012,1.17,0.34,0.52,0.33,0.86,0.89,0.34,0.24,0.5,1.43,0.74,0.28,1.31,1.74,0.75,0.22,1.32,0.3,0.5
MG149,BLF28407,,CASENT0275786,1.2,0.36,0.51,0.33,0.85,0.88,0.35,0.23,0.5,1.42,0.73,0.29,1.27,1.75,0.71,0.22,1.3,0.28,0.45
MG149,HJR101,14,CASENT0191579,1.16,0.36,0.5,0.33,0.85,0.87,0.33,0.22,0.49,1.41,0.72,0.27,1.24,1.76,0.7,0.24,1.27,0.28,0.43
MG154,BLF03251,,CASENT0477008,1.16,0.34,0.51,0.34,0.83,0.88,0.28,0.2,0.5,1.54,0.67,0.29,1.12,1.69,0.64,0.21,1.3,0.29,0.42
MG154,BLF03254,18,CASENT0409029,1.18,0.36,0.51,0.34,0.85,0.9,0.29,0.21,0.5,1.6,0.75,0.27,1.16,1.76,0.64,0.23,1.29,0.28,0.44
MG154,BLF01998,7,CASENT0191525,1.06,0.32,0.45,0.3,0.79,0.84,0.28,0.21,0.48,1.47,0.68,0.24,1.12,1.61,0.56,0.21,1.13,0.27,0.41
MG154,BLF03254,,CASENT0409030,1.2,0.38,0.5,0.34,0.83,0.87,0.27,0.22,0.51,1.6,0.71,0.29,1.16,1.78,0.62,0.22,1.28,0.28,0.42
MG154,BLF03254,,CASENT0409031,1.12,0.34,0.5,0.32,0.8,0.83,0.3,0.2,0.51,1.55,0.67,0.28,1.13,1.65,0.58,0.24,1.3,0.27,0.41
MG154,BLF01996,1,CASENT0191526,1.1,0.34,0.48,0.32,0.77,0.82,0.27,0.21,0.5,1.53,0.7,0.24,1.08,1.64,0.59,0.25,1.23,0.28,0.4
MG154,BLF03327,,CASENT0409924,1.07,0.32,0.46,0.31,0.75,0.8,0.27,0.21,0.45,1.47,0.64,0.26,1.13,1.6,0.55,0.22,1.19,0.27,0.39
MG157,BLF00492,,CASENT0191581,1.37,0.39,0.64,0.37,1.17,1.05,0.39,0.27,0.56,1.8,0.99,0.35,1.52,2.09,0.85,0.26,1.57,0.33,0.6
MG157,BLF15551,,CASENT0121790,1.39,0.44,0.63,0.38,1.09,1.02,0.39,0.28,0.58,1.81,0.92,0.31,1.63,2.14,0.81,0.29,1.65,0.32,0.66
MG157,BLF05038,,CASENT0430809,1.45,0.43,0.64,0.39,1.15,1.05,0.4,0.29,0.59,1.82,0.98,0.36,1.61,2.11,0.84,0.29,1.61,0.33,0.66
MG157,BLF05235,,CASENT0003893,1.39,0.43,0.65,0.38,1.08,1.03,0.39,0.28,0.59,1.8,0.91,0.32,1.62,2.15,0.75,0.26,1.55,0.32,0.62
MG157,BLF05014,,CASENT0447254,1.44,0.45,0.64,0.39,1.11,1.06,0.39,0.28,0.58,1.88,0.96,0.33,1.66,2.2,0.79,0.25,1.58,0.31,0.64
MG157,BLF05009,,CASENT0078620,1.44,0.46,0.7,0.42,1.18,1.08,0.42,0.29,0.6,1.9,0.97,0.35,1.62,2.14,0.84,0.29,1.58,0.33,0.66
MG157,BLF02409,,CASENT0409166,1.43,0.44,0.69,0.4,1.17,1.08,0.42,0.29,0.6,1.87,0.98,0.36,1.65,2.16,0.82,0.25,1.53,0.32,0.63
MG158,BLF19269,,CASENT0134372,1.34,0.4,0.56,0.35,1.03,0.99,0.39,0.28,0.56,1.81,0.92,0.31,1.43,2.09,0.81,0.29,1.66,0.32,0.6
MG158,BLF01958,,CASENT0191582,1.37,0.42,0.57,0.37,1.07,1.01,0.41,0.27,0.56,1.8,0.89,0.31,1.47,2.09,0.82,0.27,1.61,0.33,0.58
MG158,BLF12600,,CASENT0067215,1.33,0.4,0.56,0.36,1.04,0.98,0.4,0.24,0.51,1.73,0.86,0.27,1.46,2.05,0.81,0.23,1.54,0.3,0.54
MG158,BLF08837,,CASENT0048864,1.35,0.42,0.56,0.36,1.04,1.01,0.4,0.25,0.52,1.75,0.86,0.3,1.47,2.09,0.84,0.24,1.6,0.31,0.57
MG158,BLF08848,,CASENT0077056,1.43,0.45,0.64,0.38,1.12,1.02,0.39,0.28,0.55,1.83,0.92,0.35,1.52,2.26,0.86,0.27,1.66,0.29,0.6
MG158,BLF26549,,CASENT0231209,1.44,0.46,0.64,0.39,1.13,1.02,0.42,0.3,0.6,1.85,1,0.36,1.54,2.3,0.89,0.29,1.67,0.31,0.6
MG158,BLF26905,,CASENT0245021,1.39,0.46,0.58,0.37,1.11,1.02,0.42,0.29,0.54,1.8,0.88,0.34,1.49,2.13,0.85,0.3,1.66,0.3,0.61
MG158,BLF32268,,CASENT0370710,1.42,0.43,0.62,0.38,1.16,1.02,0.42,0.29,0.56,1.81,0.93,0.34,1.53,2.26,0.86,0.29,1.68,0.31,0.57
MG158,BLF32277,,CASENT0370704,1.41,0.43,0.6,0.4,1.11,1.03,0.41,0.31,0.58,1.84,0.96,0.36,1.53,2.27,0.9,0.3,1.65,0.3,0.61
mocquerysi,BLF01297,,CASENT0188227,2.18,0.67,1.05,0.53,2.15,1.97,0.78,0.57,0.86,2.29,1.93,0.68,2.2,3.49,1.49,0.36,2.37,0.48,1.01
mocquerysi,BLF08004,,CASENT0048940,1.77,0.61,0.81,0.41,1.66,1.58,0.61,0.45,0.77,2.05,1.6,0.48,1.74,2.92,1.27,0.32,1.94,0.4,0.78
mocquerysi,BLF08006,1,CASENT0488918,1.88,0.58,0.86,0.48,1.76,1.66,0.66,0.47,0.78,2.17,1.65,0.54,1.98,3.22,1.35,0.33,2.08,0.42,0.74
mocquerysi,BLF12698,,CASENT0067206,1.89,0.57,0.86,0.42,1.92,1.73,0.68,0.45,0.8,2.16,1.77,0.61,1.94,3.23,1.3,0.34,2.17,0.46,0.85
mocquerysi,BLF12837,,CASENT0068229,1.97,0.58,0.9,0.48,1.97,1.81,0.76,0.52,0.82,2.29,1.84,0.64,2.16,3.28,1.39,0.33,2.28,0.45,0.89
mocquerysi,BLF13383,,CASENT0072138,1.96,0.61,0.9,0.5,1.9,1.76,0.68,0.51,0.84,2.25,1.73,0.56,2.02,3.32,1.36,0.29,2.29,0.44,0.84
mocquerysi,BLF15448,,CASENT0125455,1.99,0.62,0.9,0.48,2.12,1.92,0.76,0.54,0.9,2.19,1.89,0.72,2.18,3.38,1.63,0.41,2.27,0.48,0.94
mocquerysi,BLF15515,,CASENT0122844,2.01,0.62,0.94,0.46,2.04,1.84,0.71,0.52,0.86,2.24,1.88,0.66,2.09,3.41,1.4,0.37,2.18,0.46,0.84
mocquerysi,BLF24411,,CASENT0162838,1.88,0.58,0.86,0.45,1.82,1.7,0.68,0.48,0.8,2.21,1.72,0.66,2.05,3.22,1.32,0.36,2.19,0.44,0.76
mocquerysi,BLF24705,,CASENT0161798,1.74,0.53,0.84,0.4,1.74,1.62,0.62,0.45,0.77,2.1,1.62,0.56,1.93,3.09,1.19,0.32,2.06,0.45,0.8
mocquerysi,BLF30734,,CASENT0303474,1.94,0.59,0.93,0.5,1.98,1.76,0.7,0.49,0.82,2.15,1.78,0.61,2.14,3.26,1.42,0.28,2.14,0.46,0.87
mocquerysi,BLF31923,,CASENT0367520,1.86,0.6,0.77,0.45,1.81,1.7,0.64,0.44,0.77,2.1,1.68,0.57,1.93,3.17,1.3,0.29,2.07,0.44,0.82
mocquerysi,BLF41001,,CASENT0809567,1.86,0.58,0.86,0.45,1.78,1.65,0.65,0.46,0.79,2.13,1.7,0.55,1.9,3.21,1.35,0.33,2.13,0.44,0.76
mocquerysi,HJR121a,,CASENT0188229,1.97,0.61,0.86,0.5,1.97,1.78,0.69,0.51,0.86,2.23,1.86,0.65,1.97,3.28,1.42,0.36,2.29,0.48,0.88
nasicus,BLF00606,,CASENT0192122,2.45,0.67,1.29,0.81,1.8,1.72,0.6,0.41,1.05,3.45,1.65,0.76,2.84,4.06,1.7,0.42,3.52,0.52,0.97
nasicus,BLF01164,,CASENT0192119,2.49,0.61,1.37,0.87,1.84,1.77,0.61,0.42,1.11,3.39,1.71,0.73,2.39,3.96,1.79,0.41,3.52,0.49,1.23
nasicus,BLF01166,1,CASENT0192121,2.27,0.55,1.23,0.83,1.62,1.57,0.5,0.39,1.04,3.4,1.55,0.68,2.72,3.76,1.55,0.42,3.39,0.48,1.08
nasicus,BLF02372,,CASENT0409134,2.48,0.58,1.36,0.89,1.79,1.73,0.54,0.41,1.02,3.43,1.59,0.71,2.78,3.92,1.7,0.36,3.6,0.51,1.21
nasicus,BLF02373,,CASENT0409136,2.31,0.56,1.25,0.83,1.65,1.64,0.49,0.41,1.06,3.23,1.64,0.72,2.47,3.66,1.75,0.45,3.32,0.5,1.11
nasicus,BLF02398,,CASENT0409137,2.45,0.69,1.2,0.8,1.77,1.69,0.56,0.39,1,3.41,1.61,0.76,2.85,4.02,1.82,0.29,3.6,0.5,1.06
nasicus,BLF10601,,CASENT0050369,2.42,0.66,1.26,0.76,1.64,1.61,0.53,0.4,0.96,3.34,1.56,0.71,2.8,3.83,1.67,0.51,3.42,0.47,1.1
nasicus,BLF10601,,CASENT0050386,2.38,0.65,1.24,0.74,1.63,1.58,0.53,0.36,0.98,3.29,1.52,0.7,2.7,3.85,1.6,0.41,3.41,0.48,1.02
